round, Mean_Train_Loss, Test_Loss, 
0, 14.111150900125503, 12.34346866607666, 
1, 13.176095637083053, 11.448244094848633, 
2, 12.878496596813202, 10.61280345916748, 
3, 11.312988097667693, 9.71486759185791, 
4, 10.451937136650086, 8.821907997131348, 
5, 9.320662353932857, 7.963192462921143, 
6, 8.194125386476516, 7.249867916107178, 
7, 6.970781664550304, 6.527390003204346, 
8, 7.078680347204209, 5.818113803863525, 
9, 6.38660925924778, 5.108609676361084, 
10, 5.019717152267694, 5.047179698944092, 
11, 4.912569042146206, 4.9835286140441895, 
12, 5.0159567040205, 4.926651954650879, 
13, 4.764687637090683, 4.855974197387695, 
14, 4.910640743374825, 4.7965192794799805, 
15, 4.671188499778509, 4.743319988250732, 
16, 4.694471930414438, 4.682473182678223, 
17, 4.862976243644953, 4.618000030517578, 
18, 4.492065800577402, 4.567765712738037, 
19, 4.564448482990265, 4.513967514038086, 
20, 4.4274957467615605, 4.458154201507568, 
21, 4.548068046271801, 4.404813289642334, 
22, 4.297200896441937, 4.351038455963135, 
23, 4.251620780527592, 4.3023552894592285, 
24, 4.426815961003303, 4.248318195343018, 
25, 4.254934827983379, 4.196987628936768, 
26, 4.374638070166111, 4.138650894165039, 
27, 4.235449006557465, 4.08318567276001, 
28, 4.254013592898846, 4.0316338539123535, 
29, 4.029744057506323, 3.9892354011535645, 
