round, Mean_Train_Loss, Test_Loss, 
0, 14.050942790031433, 11.239583015441895, 
1, 12.007035830497742, 9.045608520507812, 
2, 9.26734637117386, 6.749791622161865, 
3, 6.648512300014496, 4.757503032684326, 
4, 4.67280524802208, 3.5710270404815674, 
5, 3.4288463171124457, 2.7696332931518555, 
6, 2.562474763035774, 2.241689443588257, 
7, 2.1401897101700307, 1.8711398839950562, 
8, 1.751369178712368, 1.6693774461746216, 
9, 1.5718941903114318, 1.5295841693878174, 
10, 1.4329634326398373, 1.4945032596588135, 
11, 1.3859699692726135, 1.4657516479492188, 
12, 1.3690955599248409, 1.4377954006195068, 
13, 1.304030744701624, 1.4148623943328857, 
14, 1.3027194910347462, 1.3938734531402588, 
15, 1.3168650079965591, 1.3733835220336914, 
16, 1.2663347438275814, 1.3564047813415527, 
17, 1.2468667749911546, 1.3399927616119385, 
18, 1.2397455854117871, 1.326320767402649, 
19, 1.2086860179901122, 1.3133119344711304, 
20, 1.2075831322073936, 1.3001924753189087, 
21, 1.1711160585284233, 1.287998914718628, 
22, 1.1649158000051976, 1.2768892049789429, 
23, 1.1776030111908913, 1.2654047012329102, 
24, 1.1417830583155155, 1.254858136177063, 
25, 1.157982257798314, 1.2438715696334839, 
26, 1.1466432071775199, 1.233580470085144, 
27, 1.1239397661685944, 1.224779725074768, 
28, 1.1282154823988677, 1.2152420282363892, 
29, 1.1120962116718291, 1.2061100006103516, 
