round, Mean_Train_Loss, Test_Loss, 
0, 14.081255783604794, 10.685030937194824, 
1, 11.444420076979965, 7.81270694732666, 
2, 8.037327205157672, 5.137310981750488, 
3, 4.972791847049213, 3.401465892791748, 
4, 3.262361294715131, 2.401063919067383, 
5, 2.3464258018087167, 1.8877346515655518, 
6, 1.8497214167821603, 1.6229970455169678, 
7, 1.5435635878902967, 1.4834277629852295, 
8, 1.388541068503114, 1.3577088117599487, 
9, 1.2745382357816226, 1.2616099119186401, 
10, 1.1821868090600265, 1.2301725149154663, 
11, 1.1491892694694097, 1.203805923461914, 
12, 1.1220700818984235, 1.1826462745666504, 
13, 1.0996490603954088, 1.164268970489502, 
14, 1.0810905976617922, 1.1500272750854492, 
15, 1.0655638702702326, 1.1382646560668945, 
16, 1.0522411995246763, 1.129001498222351, 
17, 1.0406063630932667, 1.1199111938476562, 
18, 1.0302084201427757, 1.1128813028335571, 
19, 1.020686550963609, 1.105027675628662, 
20, 1.0118100486940047, 1.0988255739212036, 
21, 1.0034610162260102, 1.0915353298187256, 
22, 0.9954143214543335, 1.0858126878738403, 
23, 0.9877038869090745, 1.0789623260498047, 
24, 0.9801527429677424, 1.0737378597259521, 
25, 0.9728276256532943, 1.0671992301940918, 
26, 0.9656678628726084, 1.0623327493667603, 
27, 0.9586998581275589, 1.056225061416626, 
28, 0.9518395319336751, 1.0517585277557373, 
29, 0.9452020194931109, 1.0458623170852661, 
