round, Mean_Train_Loss, Test_Loss, 
0, 5.225012796146215, 9.531079292297363, 
1, 4.02611456592552, 8.746438980102539, 
2, 3.3546894326903782, 8.548335075378418, 
3, 3.262987116198437, 8.21939754486084, 
4, 3.0826384765092953, 7.969160079956055, 
5, 2.952378417723736, 7.712798595428467, 
6, 2.830745365702715, 7.473511695861816, 
7, 2.731514038874722, 7.237239360809326, 
8, 2.6477882612117978, 7.0119524002075195, 
9, 2.5759165596522267, 6.796288967132568, 
10, 4.446173815248443, 5.0401763916015625, 
11, 2.830786976242652, 3.7450990676879883, 
12, 1.8821098460843328, 2.9244749546051025, 
13, 1.3758093376860756, 2.442424774169922, 
14, 1.100965623010988, 2.1773345470428467, 
15, 0.9459941810522168, 2.029771327972412, 
16, 0.8517059280436303, 1.9322489500045776, 
17, 0.7865020480697028, 1.849208950996399, 
18, 0.7355080977173858, 1.7753832340240479, 
19, 0.692899015751652, 1.711038589477539, 
20, 0.6567912022787772, 1.6536041498184204, 
21, 0.625573444636386, 1.6025367975234985, 
22, 0.5983157898455126, 1.5564074516296387, 
23, 0.5744243624391125, 1.5149774551391602, 
24, 0.5531067767678226, 1.4766947031021118, 
25, 0.5339112092982061, 1.4422028064727783, 
26, 0.5165275065289413, 1.4102274179458618, 
27, 0.50067042046822, 1.38105309009552, 
28, 0.48621131730189576, 1.353731632232666, 
29, 0.4729836715617385, 1.3286035060882568, 
