round, Mean_Train_Loss, Test_Loss, 
0, 14.200294595956802, 12.057037353515625, 
1, 12.587935763994853, 10.795121192932129, 
2, 11.600753773053487, 9.49560546875, 
3, 10.221141538619996, 8.101759910583496, 
4, 8.491265798807143, 6.755106449127197, 
5, 6.833926542202632, 5.680848598480225, 
6, 5.842597768803437, 4.663366794586182, 
7, 4.775233430663745, 3.942624807357788, 
8, 3.7974330868323642, 3.356886863708496, 
9, 3.330933772623539, 2.939638376235962, 
10, 2.935829003651937, 2.8923680782318115, 
11, 2.8678405208388966, 2.8378853797912598, 
12, 2.7384060207009315, 2.7934436798095703, 
13, 2.751998048722744, 2.7532567977905273, 
14, 2.582385325630506, 2.7113912105560303, 
15, 2.7344186332821847, 2.665764570236206, 
16, 2.6310168701410293, 2.6261086463928223, 
17, 2.451389102935791, 2.586434841156006, 
18, 2.5075561703244844, 2.542710542678833, 
19, 2.4264812288681665, 2.5075132846832275, 
20, 2.41169648985068, 2.4687814712524414, 
21, 2.3703599342207116, 2.4320156574249268, 
22, 2.233456109315157, 2.4040794372558594, 
23, 2.3586363924046356, 2.366859197616577, 
24, 2.1930856078863146, 2.333313465118408, 
25, 2.1914602251847586, 2.298308849334717, 
26, 2.234683733781179, 2.2617857456207275, 
27, 2.144051758547624, 2.2278013229370117, 
28, 2.1158257139722507, 2.1961700916290283, 
29, 2.1031604771812757, 2.1655538082122803, 
