round, Mean_Train_Loss, Test_Loss, 
0, 2.009707203201614, 9.164052963256836, 
1, 1.7045495670413613, 7.881082534790039, 
2, 1.1811184232751457, 7.987813472747803, 
3, 1.2088404812783644, 7.834231853485107, 
4, 1.0981320344427692, 7.8483991622924805, 
5, 1.0841778847482055, 7.877086639404297, 
6, 1.0937781642398752, 7.77243709564209, 
7, 1.0656743029075995, 7.8484954833984375, 
8, 1.065079772828727, 7.628342151641846, 
9, 1.031833953008239, 7.6558403968811035, 
10, 2.059345098063655, 4.319253921508789, 
11, 0.8532621378173716, 3.3995840549468994, 
12, 0.6036883345892897, 2.9936177730560303, 
13, 0.5010238704123138, 2.7483127117156982, 
14, 0.4413757632361328, 2.576245069503784, 
15, 0.40158241754455004, 2.445340156555176, 
16, 0.3725508901418843, 2.3404464721679688, 
17, 0.3501856974937159, 2.253507614135742, 
18, 0.3321790653908793, 2.1801724433898926, 
19, 0.3173618671600325, 2.1170477867126465, 
20, 0.30493337360264156, 2.0621156692504883, 
21, 0.29422604321609025, 2.014145612716675, 
22, 0.2849693873695663, 1.9714046716690063, 
23, 0.2768894964797789, 1.933680534362793, 
24, 0.2696433564685056, 1.8992159366607666, 
25, 0.26317698167094994, 1.8685531616210938, 
26, 0.2573713869254914, 1.8396583795547485, 
27, 0.25219296559214316, 1.8145190477371216, 
28, 0.24742162774935303, 1.7907226085662842, 
29, 0.243072626391983, 1.7688170671463013, 
