round, Mean_Train_Loss, Test_Loss, 
0, 14.190720708966255, 11.515318870544434, 
1, 12.421014568805695, 9.645364761352539, 
2, 10.565080742239951, 7.807446002960205, 
3, 8.260665673017503, 6.08677864074707, 
4, 6.299569444954395, 4.717350482940674, 
5, 4.6919240024685855, 3.7227697372436523, 
6, 3.7422158117592335, 2.9727818965911865, 
7, 2.951170191541314, 2.508446455001831, 
8, 2.4864513862878086, 2.1461381912231445, 
9, 2.1724886559695005, 1.8756550550460815, 
10, 1.8757532908767462, 1.8379803895950317, 
11, 1.795322709903121, 1.8058189153671265, 
12, 1.7541538777574897, 1.7717736959457397, 
13, 1.721662335805595, 1.7377417087554932, 
14, 1.7068090396001936, 1.7104681730270386, 
15, 1.6265660329163074, 1.6837959289550781, 
16, 1.611184014044702, 1.6594356298446655, 
17, 1.5585032040253282, 1.6374701261520386, 
18, 1.5720026615634561, 1.6134103536605835, 
19, 1.537652124017477, 1.5926692485809326, 
20, 1.5313301023095847, 1.5707411766052246, 
21, 1.4721155190840363, 1.5506532192230225, 
22, 1.4653310552984475, 1.5309277772903442, 
23, 1.4871755857765674, 1.511212944984436, 
24, 1.4680475113540887, 1.4922802448272705, 
25, 1.4273811362311244, 1.4757062196731567, 
26, 1.4053556414321065, 1.4610490798950195, 
27, 1.4111008148267865, 1.446564793586731, 
28, 1.3749691646173596, 1.4312071800231934, 
29, 1.3221766021102668, 1.4152417182922363, 
